RECN,AUN,MUS,TI,ATI,PG,ED,SR,CT,COM,PL,YR,DATE,OY,VOL,NUM,EN,CODE,CITE,GCITE,VO,NOTE,XN,PER,CAT,EX,TR,SC,FE,DI,DIU,ROYAL,COMMIT,CALL,MSG,STAMP,UPN,SORTN,SORT2N,LCITE,BIB,recid,GCITE2,firsttwo,FirstLetter
2963,"Naval [Mas], A.",,Seminario de Arte Aragonés,Retablo de Santa María la Mayor de Bolea,127-157,,,,,,,|y1977,,,22-24,,NAMA77,"Naval [Mas], 1977, p.","Naval [Mas], 1977",,Checked: IJR 1/95        seen.2.6.95.fma,,y,,,,,,,,Magazine,,800 Se52,M2,IR |D 1995 01 06 |T 11:31:26,IR |D 1995 01 06 |T 11:31:26,,,"Naval [Mas], A.  Retablo de Santa María la Mayor de Bolea. Seminario de Arte Aragonés  22-24 (1977): 127-157.","Naval [Mas], A.  Retablo de Santa María la Mayor de Bolea. Seminario de Arte Aragonés  22-24 (1977): 127-157.",2914,"Naval [Mas], 1977",Naval [Mas,N
2964,"Longhi, R.",,Arte italiana e arte tedesca con altre congiunture fra Italia ed Europa 1939-1969,Una 'Pietá' del Maestro del Cavaliere di Montesa,,,,,,Florence,"1979, pp.41-43 (first published in Paragone 161 (1963): 55-57)",,,,,,LONGHI79,"Longhi, 1979, p.","Longhi, 1979",,Checked: IJR 1/95,,,,,,,y,,,Authors,,014.12 L862a,M2,IR |D 1995 01 06 |T 17:43:03,IR |D 1995 01 06 |T 17:43:03,,,"Longhi, R.  Una 'Pietá' del Maestro del Cavaliere di Montesa. In Arte italiana e arte tedesca con altre congiunture fra Italia ed Europa 1939-1969.  Florence, 1979, pp.41-43 (first published in Paragone 161 (1963): 55-57).","Longhi, R.  Una 'Pietá' del Maestro del Cavaliere di Montesa. In Arte italiana e arte tedesca con altre congiunture fra Italia ed Europa 1939-1969.  Florence, 1979, pp.41-43 (first published in Paragone 161 (1963): 55-57).",2915,"Longhi, 1979","Longhi, 1979",L
2965,"Tormo y Monzó, E.",,Archivo Español de Arte y Arqueología,"Rodrigo de Osona, padre e hijo, y su escuela, II, La Obra de los Osonas y su escuela",153-214,,,,,,,|y1933,,9,,,TORMON33,"Tormo y Monzó, 1933, p.","Tormo y Monzó, 1933",,Checked: IJR 1/95      seen.2.3.95.fma,,y,,,,,,,,Magazine,,,M2 O,IR |D 1995 01 09 |T 11:21:35,IR |D 1995 01 09 |T 11:21:35,,,"Tormo y Monzó, E.  Rodrigo de Osona, padre e hijo, y su escuela, II, La Obra de los Osonas y su escuela.  Archivo Español de Arte y Arqueología  9 (1933): 153-214.","Tormo y Monzó, E.  Rodrigo de Osona, padre e hijo, y su escuela, II, La Obra de los Osonas y su escuela.  Archivo Español de Arte y Arqueología  9 (1933): 153-214.",2916,"Tormo y Monzó, 1933",Tormo y,T
2966,"Durán Gudiol, A.",,Huesca y su provincia,,,,Guías artísticas de España,,,Barcelona,1957,,,,,,DUGU,"Durán Gudiol, 1957, p.","Durán Gudiol, 1957",,Checked: IJR 3/95,,,,,,,,,,Back on Shelf,,C H866 A D93,M2,MLH |D 1995 01 11 |T 12:26:23,MLH |D 1995 01 11 |T 12:26:23,,,"Durán Gudiol, A.  Huesca y su provincia.  Guías artísticas de España.  Barcelona, 1957.","Durán Gudiol, A.  Huesca y su provincia.  Guías artísticas de España.  Barcelona, 1957.",2917,"Durán Gudiol, 1957",Durán Gudiol,D
2967,,"New York, Metropolitan Museum of Art [MMA]",European Paintings by Artists Born in or before 1865,,,,,Comp.,K. Baetjer,,,|y 1980,,,,,MMA80,"New York, MMA [cat.], 1980, v. , p.","New York, MMA [cat.], 1980",3 vols.,Checked: IJR 1/95        seen.8.23.95.fma,,,y,,,,,,,Location,,C N48 C M56c 1980,G L M1 M2 M3 M4 P R S V Z,IR |D 1995 01 12 |T 11:57:37,IR |D 1995 01 12 |T 11:57:37,,"new york, mma1980","New York, Metropolitan Museum of Art [MMA].  European Paintings by Artists Born in or before 1865 [cat.].  Comp. K. Baetjer.  3 vols.  1980.","New York, Metropolitan Museum of Art [MMA].  European Paintings by Artists Born in or before 1865 [cat.].  Comp. K. Baetjer.  3 vols.  1980.",2918,"New York, MMA [cat.], 1980",New York,N
2968,"Sotheby's Arcade, New York.",,"Old Master and 19th Century European Paintings, Drawings and Watercolors",,,,,,,,,"July 12, |y1989",,,,,SOTHNY789,"Sale, Sotheby's Arcade, New York, July 12, 1989, n.p. lot","Sale, Sotheby's Arcade, New York, July 12, 1989",,,,,,,,y,,,,Sale,,,O,MPP |D 1995 01 12 |T 15:51:58,MPP |D 1995 01 12 |T 15:51:58,,,"Sale, Sotheby's Arcade, New York.  Old Master and 19th Century European Paintings, Drawings and Watercolors.  July 12, 1989.","Sale, Sotheby's Arcade, New York.  Old Master and 19th Century European Paintings, Drawings and Watercolors.  July 12, 1989.",2919,"Sale, Sotheby's Arcade, New York, July 12, 1989","Sale, Sotheby's",S
2969,"Collar de Cáceres, F.",,Boletín del Seminario de Estudios de Arte y Arqueología,El Maestro de los Luna y el retablo de El Muyo,372-378,,,,,,,|y1986,,(Universidad de Valladolid) 52,,,COCA86,"Collar de Cáceres, 1986, p.","Collar de Cáceres, 1986",,seen.2.6.95.fma // IJR 3/95,,y,,,,,,,,Back on Shelf,,,M2,EG |D 1995 01 12 |T 16:57:02,EG |D 1995 01 12 |T 16:57:02,,,"Collar de Cáceres, F.  El Maestro de los Luna y el retablo de El Muyo.  Boletín del Seminario de Estudios de Arte y Arqueología (Universidad de Valladolid) 52 (1986): 372-378.","Collar de Cáceres, F.  El Maestro de los Luna y el retablo de El Muyo.  Boletín del Seminario de Estudios de Arte y Arqueología (Universidad de Valladolid) 52 (1986): 372-378.",2920,"Collar de Cáceres, 1986",Collar de,C
2970,"Christie's, London.",,Spanish Art II: Old Master Pictures and Drawings; 19th and 20th Century Pictures; Prints and Contemporary Art,,,,,,,,,"May 29, |y1992",,,,,CHRISLON592,"Sale, Christie's, London, May 29, 1992, p.   lot","Sale, Christie's, London, May 29, 1992",,Checked: IJR 1/95       seen.3.30.95.fma,,,,,,y,,,,Sale,,,G M2 R S V,IR |D 1995 01 12 |T 17:18:15,IR |D 1995 01 12 |T 17:18:15,,,"Sale, Christie's, London.  Spanish Art II: Old Master Pictures and Drawings; 19th and 20th Century Pictures; Prints and Contemporary Art.  May 29, 1992.","Sale, Christie's, London.  Spanish Art II: Old Master Pictures and Drawings; 19th and 20th Century Pictures; Prints and Contemporary Art.  May 29, 1992.",2921,"Sale, Christie's, London, May 29, 1992","Sale, Christie's",S
2971,"Díaz Padrón, M., and I. Alonso Blázquez.",,Boletín del Museo del Prado,"Una tabla anónima de San Antonio de Padua, restituída al Maestro de Don Alvaro de Luna, en Museo del Prado",9-May,,,,,,,|y1987,,7,,,DIAL,"Díaz Padrón and Alonso Blázquez, 1987, p.","Díaz Padrón and Alonso Blázquez, 1987",,Checked: IJR 4/95,,y,,,,,,,,Back on Shelf,,,M2,EG |D 1995 01 12 |T 17:44:29,EG |D 1995 01 12 |T 17:44:29,,,"Díaz Padrón, M., and I. Alonso Blázquez.  Una tabla anónima de San Antonio de Padua, restituída al Maestro de Don Alvaro de Luna, en Museo del Prado.  Boletín del Museo del Prado  7 (1987): 5-9.","Díaz Padrón, M., and I. Alonso Blázquez.  Una tabla anónima de San Antonio de Padua, restituída al Maestro de Don Alvaro de Luna, en Museo del Prado.  Boletín del Museo del Prado  7 (1987): 5-9.",2922,"Díaz Padrón and Alonso Blázquez, 1987",Díaz Padrón,D
2972,"Pita Andrade, J.M., and J. Alvarez Lopera.",,La escultura y la arquitectura españolas del siglo XVII,La arquitectura española del siglo XVII,,,"Summa Artis. Historia general de arte, vol.26",,,Madrid,"1988, pp.429-634",,,,,,PIANAL,"Pita Andrade and Alvarez Lopera, 1988, p.","Pita Andrade and Alvarez Lopera, 1988",,,,,,,,,y,,,,,,M3 M4 P,EG |D 1995 03 01 |T 10:26:01,EG |D 1995 03 01 |T 10:26:01,,,"Pita Andrade, J.M., and J. Alvarez Lopera.  La arquitectura española del siglo XVII.  In La escultura y la arquitectura españolas del siglo XVII.  Summa Artis. Historia general de arte, vol.26.  Madrid, 1988, pp.429-634.","Pita Andrade, J.M., and J. Alvarez Lopera.  La arquitectura española del siglo XVII.  In La escultura y la arquitectura españolas del siglo XVII.  Summa Artis. Historia general de arte, vol.26.  Madrid, 1988, pp.429-634.",2923,"Pita Andrade and Alvarez Lopera, 1988",Pita Andrade,P
2973,"Ainaud [de Lasarte], J., et al.",,Catálogo monumental de España: La ciudad de Barcelona,,,,,,,Madrid,1947,,,,,,AILA47,"Ainaud [de Lasarte], 1947, v. , p.","Ainaud [de Lasarte], 1947",2 vols.,Checked: IJR 3/95,,,,,,,,,,Back on Shelf,,,M3 P,LC |D 1995 01 13 |T 11:27:52,LC |D 1995 01 13 |T 11:27:52,,,"Ainaud [de Lasarte], J., et al.  Catálogo monumental de España: La ciudad de Barcelona.  2 vols.  Madrid, 1947.","Ainaud [de Lasarte], J., et al.  Catálogo monumental de España: La ciudad de Barcelona.  2 vols.  Madrid, 1947.",2924,"Ainaud [de Lasarte], 1947",Ainaud [de,A
2974,,"Paris, Musée du Louvre","Catalogue sommaire illustré des peintures du musée du Louvre, II, Italie, Espagne, Allemagne, Grande-Bretagne et divers",,,,,Comps.,A. Brejon de Lavernée and D. Thiébaut,,,|y 1981,,,,,PALOU81,"Paris, Louvre [cat.], 1981, p.","Paris, Louvre [cat.], 1981",,Checked: IJR 1/95       seen.5.30.95.fma,,,y,,,,,,,Location,,"C P21 C L93c 1979, v.2",G H L M1 M2 M3 M4 N P R S T U V Z,IR |D 1995 01 13 |T 13:18:18,IR |D 1995 01 13 |T 13:18:18,,"paris, louvre1981","Paris, Musée du Louvre.  Catalogue sommaire illustré des peintures du musée du Louvre, II, Italie, Espagne, Allemagne, Grande-Bretagne et divers [cat.].  Comps. A. Brejon de Lavernée and D. Thiébaut.  1981.","Paris, Musée du Louvre.  Catalogue sommaire illustré des peintures du musée du Louvre, II, Italie, Espagne, Allemagne, Grande-Bretagne et divers [cat.].  Comps. A. Brejon de Lavernée and D. Thiébaut.  1981.",2925,"Paris, Louvre [cat.], 1981","Paris, Louvre",P
2975,,"London, National Gallery",Illustrated General Catalogue,,,,,,,,,|y1986,,,,,LONNA86,"London, National Gallery [cat.], 1986, p.","London, National Gallery [cat.], 1986",,Checked: IJR 1/95      seen.7.26.96.fma,,,y,,,,,,,Location,in shelf by IR.,C L84 CN22 1986 a,G L M2 M3 M4 R S V Z,IR |D 1995 01 13 |T 16:07:42,IR |D 1995 01 13 |T 16:07:42,,,"London, National Gallery.  Illustrated General Catalogue [cat.].  1986.","London, National Gallery.  Illustrated General Catalogue [cat.].  1986.",2926,"London, National Gallery [cat.], 1986","London, National",L
2976,"Toubert, H.",,Cahiers Archéologiques,"Une fresque de San Pedro de Sorpe (Catalogne) et le thème iconographique de l'arbor bona-ecclesia, arbor mala-synagoga",167-189,,,,,,,|y1969,,19,,,TOUBERT,"Toubert, 1969, p.","Toubert, 1969",,seen.2.6.95.fma // IJR 4/95,,y,,,,,,,,Back on Shelf,,,M2,MLH |D 1995 01 13 |T 16:33:45,MLH |D 1995 01 13 |T 16:33:45,,,"Toubert, H.  Une fresque de San Pedro de Sorpe (Catalogne) et le thème iconographique de l'arbor bona-ecclesia, arbor mala-synagoga. Cahiers Archéologiques  19 (1969): 167-189.","Toubert, H.  Une fresque de San Pedro de Sorpe (Catalogne) et le thème iconographique de l'arbor bona-ecclesia, arbor mala-synagoga. Cahiers Archéologiques  19 (1969): 167-189.",2927,"Toubert, 1969","Toubert, 1969",T
2977,"Tejada Vizuete, F.",,Retablos barrocos de la Baja Extremadura (siglos XVII-XVIII),,,,,,,Mérida,1988,,,,,,TEVI,"Tejada Vizuete, 1988, p.","Tejada Vizuete, 1988",,seen.1.13.95.fma  // IJR 3/95,,,,,,,,,,Sculpture,,835.7 T2355,M4 R,FMA |D 1995 01 13 |T 17:02:07,FMA |D 1995 01 13 |T 17:02:07,,,"Tejada Vizuete, F.  Retablos barrocos de la Baja Extremadura (siglos XVII-XVIII).  Mérida, 1988.","Tejada Vizuete, F.  Retablos barrocos de la Baja Extremadura (siglos XVII-XVIII).  Mérida, 1988.",2928,"Tejada Vizuete, 1988",Tejada Vizuete,T
2978,,"Munich, Alte Pinakothek",Spanische Meister,,,,,Comp.,H. Soehner,,,|y1963,,,,,MUAL,"Munich, Alte Pinakothek [cat.], 1963, v. , p.","Munich, Alte Pinakothek [cat.], 1963",2 vols.,Checked: IJR 1/95,,,y,,,,,,,Location,,C M925 C 0L1c 1963,G M3 M4 P R S V Z,IR |D 1995 01 17 |T 11:35:06,IR |D 1995 01 17 |T 11:35:06,,,"Munich, Alte Pinakothek.  Spanische Meister [cat.].  Comp. H. Soehner.  2 vols.  1963.","Munich, Alte Pinakothek.  Spanische Meister [cat.].  Comp. H. Soehner.  2 vols.  1963.",2929,"Munich, Alte Pinakothek [cat.], 1963","Munich, Alte",M
2979,,,[Actas] Jornadas sobre el gótico en la provincia de Palencia,,,,,,,Palencia,1988 [Individual essays listed by author],,,,,,,,,,Checked: IJR 3/95 seen.5.25.95.fma,,,,,,,,,,Authors,,021 Splj769,G M2,MLH |D 1995 01 17 |T 15:37:11,MLH |D 1995 01 17 |T 15:37:11,,actas14,"[Actas] Jornadas sobre el gótico en la provincia de Palencia. Palencia, 1988 [Individual essays listed by author].","[Actas] Jornadas sobre el gótico en la provincia de Palencia. Palencia, 1988 [Individual essays listed by author].",2930,[Actas] Jornadas sobre el gótico en la provincia de Palencia,Actas] Jornadas,[
2980,"Caamaño Martínez, J.M.",,[Actas] Jornadas sobre el gótico en la provincia de Palencia,El Maestro de Sirga en la pintura hispano-flamenca palentina,,,,,,Palencia,"1988, pp.85-95",,,,,,CAAMAR,"Caamaño Martínez, 1988, p.","Caamaño Martínez, 1988",,Checked:  IJR 3/95,,,,,,,y,,,Authors,,021 Splj769,M2,MLH |D 1995 01 17 |T 16:03:13,MLH |D 1995 01 17 |T 16:03:13,,,"Caamaño Martínez, J.M.  El Maestro de Sirga en la pintura hispano-flamenca palentina.  In [Actas] Jornadas sobre el gótico en la provincia de Palencia.  Palencia, 1988, pp.85-95.","Caamaño Martínez, J.M.  El Maestro de Sirga en la pintura hispano-flamenca palentina.  In [Actas] Jornadas sobre el gótico en la provincia de Palencia.  Palencia, 1988, pp.85-95.",2931,"Caamaño Martínez, 1988",Caamaño Martínez,C
2981,"Ara Gil, [C.] J.",,[Actas] Jornadas sobre el gótico en la provincia de Palencia,Imaginería gótica palentina,,,,,,Palencia,"1988, pp.41-64",,,,,,AGIL88,"Ara Gil, 1988, p.","Ara Gil, 1988",,Checked: IJR 3/95         seen.5.25.95.fma,,,,,,,y,,,Authors,,021 Splj769,G M2,MLH |D 1995 01 17 |T 16:41:10,MLH |D 1995 01 17 |T 16:41:10,,,"Ara Gil, [C.] J.  Imaginería gótica palentina.  In [Actas] Jornadas sobre el gótico en la provincia de Palencia.  Palencia, 1988, pp.41-64.","Ara Gil, [C.] J.  Imaginería gótica palentina.  In [Actas] Jornadas sobre el gótico en la provincia de Palencia.  Palencia, 1988, pp.41-64.",2932,"Ara Gil, 1988",Ara Gil,A
2982,"Parrado del Olmo, J.M.",,[Actas] Jornadas sobre el gótico en la provincia de Palencia,Estilo de los ensamblajes góticos palentinos,,,,,,Palencia,"1988, pp.65-83",,,,,,PAOL88,"Parrado del Olmo, 1988, p.","Parrado del Olmo, 1988",,Checked: IJR 3/95,,,,,,,y,,,Authors,,021 splj769,M2,MLH |D 1995 01 17 |T 17:20:37,MLH |D 1995 01 17 |T 17:20:37,,,"Parrado del Olmo, J.M.  Estilo de los ensamblajes góticos palentinos.  In [Actas] Jornadas sobre el gótico en la provincia de Palencia. Palencia, 1988, pp.65-83.","Parrado del Olmo, J.M.  Estilo de los ensamblajes góticos palentinos.  In [Actas] Jornadas sobre el gótico en la provincia de Palencia. Palencia, 1988, pp.65-83.",2933,"Parrado del Olmo, 1988",Parrado del,P
2983,"Yarza Luaces, J.",,[Actas] Jornadas sobre el gótico en la provincia de Palencia,El retablo de Santa María del Castillo (Frómista). Problemas de la pintura en Palencia a fines del siglo XV,,,,,,Palencia,"1988, pp.97-114",,,,,,YARLU88,"Yarza Luaces, 1988, p.","Yarza Luaces, 1988",,Checked: IJR 3/95,,,,,,,y,,,Authors,,021 Splj769,M2,MLH |D 1995 01 17 |T 17:33:30,MLH |D 1995 01 17 |T 17:33:30,,,"Yarza Luaces, J.  El retablo de Santa María del Castillo (Frómista). Problemas de la pintura en Palencia a fines del siglo XV.  In [Actas] Jornadas sobre el gótico en la provincia de Palencia.  Palencia, 1988, pp.97-114.","Yarza Luaces, J.  El retablo de Santa María del Castillo (Frómista). Problemas de la pintura en Palencia a fines del siglo XV.  In [Actas] Jornadas sobre el gótico en la provincia de Palencia.  Palencia, 1988, pp.97-114.",2934,"Yarza Luaces, 1988",Yarza Luaces,Y
2984,"Alcoy [i Pedrós], R.",,Journal of the Walters Art Gallery,Jaume Cascalls. Un nombre para el Maestro del Tríptico de Baltimore,93-109,,,,,,,|y1990,,48,,,ALCOY,"Alcoy [i Pedrós], 1990, p.","Alcoy [i Pedrós], 1990",,Checked: IJR 1/95  (this will be used for the supplement letter C also).      seen.2.6.95.fma,,y,,,,,,,,Magazine,"Use also in Appendix, letter C",,M2,IR |D 1995 01 18 |T 18:03:38,IR |D 1995 01 18 |T 18:03:38,,,"Alcoy [i Pedrós], R.  Jaume Cascalls. Un nombre para el Maestro del Tríptico de Baltimore.  Journal of the Walters Art Gallery  48 (1990): 93-109.","Alcoy [i Pedrós], R.  Jaume Cascalls. Un nombre para el Maestro del Tríptico de Baltimore.  Journal of the Walters Art Gallery  48 (1990): 93-109.",2935,"Alcoy [i Pedrós], 1990",Alcoy [i,A
2985,,,Fuentes para la historia del arte andaluz,,,,,Ed.,J.M. Palomero Páramo,Seville,1990-<1994> [Individual volumes listed by compiler],,,,,,,,,,has to be edited.8.23.95.fma,,,,,,,,,,,,803 P1865,H L M1 M3 O P,MLH |D 1995 01 20 |T 10:36:43,MLH |D 1995 01 20 |T 10:36:43,,,"Fuentes para la historia del arte andaluz.  Ed. J.M. Palomero Páramo.  Seville, 1990-<1994> [Individual volumes listed by compiler].","Fuentes para la historia del arte andaluz.  Ed. J.M. Palomero Páramo.  Seville, 1990-<1994> [Individual volumes listed by compiler].",2936,Fuentes para la historia del arte andaluz,Fuentes para,F
2986,"Saralegui, L. de.",,Archivo Español de Arte,Notícia de tablas españolas inéditas,67-69,,,,,,,|y1962,,35,,,SARA62,"Saralegui, 1962, p.","Saralegui, 1962",,seen.2.2.95.fma // IJR 3/95,,y,,,,,,,,Back on Shelf,,,M2,EG |D 1995 01 20 |T 12:04:43,EG |D 1995 01 20 |T 12:04:43,,,"Saralegui, L. de.  Notícia de tablas españolas inéditas. Archivo Español de Arte  35 (1962): 67-69.","Saralegui, L. de.  Notícia de tablas españolas inéditas. Archivo Español de Arte  35 (1962): 67-69.",2937,"Saralegui, 1962","Saralegui, 1962",S
2987,"Benet, R.",,Butlletí dels Museus d'Art de Barcelona,Notes biogràfiques sobre Josep Llimona,100-129,,,,,,,|y1934,,4,,,BENET34,"Benet, 1934, p.","Benet, 1934",,seen.1.23.95.fma,,y,,,,,,,,Back on Shelf,,,L,FMA |D 1995 01 23 |T 12:52:42,FMA |D 1995 01 23 |T 12:52:42,,,"Benet, R.  Notes biogràfiques sobre Josep Llimona.  Butlletí dels Museus d'Art de Barcelona  4 (1934): 100-129.","Benet, R.  Notes biogràfiques sobre Josep Llimona.  Butlletí dels Museus d'Art de Barcelona  4 (1934): 100-129.",2938,"Benet, 1934","Benet, 1934",B
2988,"Camón Aznar, J.",,Goya,Primitivos aragoneses,61-64,,,,,,,July-August |y1957,,,19,,CAAZ572,"Camón Aznar, Primitivos, 1957, p.","Camón Aznar, Primitivos, 1957",,seen.2.3.95.fma // IJR 4/95,,y,,,,,,,,Back on Shelf,,,M2,MLH |D 1995 01 24 |T 12:43:00,MLH |D 1995 01 24 |T 12:43:00,,,"Camón Aznar, J.  Primitivos aragoneses.  Goya  19 (July-August 1957): 61-64.","Camón Aznar, J.  Primitivos aragoneses.  Goya  19 (July-August 1957): 61-64.",2939,"Camón Aznar, Primitivos, 1957",Camón Aznar,C
2989,"Sebastián [López], S., and A. Solaz.",,Teruel monumental,,,,,,,Teruel,1969,,,,,,SESO,"Sebastián and Solaz, 1969, p.","Sebastián and Solaz, 1969",,Checked: IJR 3/95,,,,,,,,,,Back on Shelf,,C T2286 A Se 2m,M2,MLH |D 1995 01 24 |T 13:27:19,MLH |D 1995 01 24 |T 13:27:19,,,"Sebastián [López], S., and A. Solaz.  Teruel monumental. Teruel, 1969.","Sebastián [López], S., and A. Solaz.  Teruel monumental. Teruel, 1969.",2940,"Sebastián and Solaz, 1969",Sebastián and,S
2990,"Mallory, N.A.",,Goya,Juan Bautista Martínez del Mazo: Retratos y paisajes,265-276,,,,,,,March-April |y1991,,,221,,MALLO91,"Mallory, 1991, p.","Mallory, 1991",,seen.2.1.95.fma // IJR 3/95,,y,,,,,,,,Back on Shelf,,,M3,EG |D 1995 01 24 |T 13:28:07,EG |D 1995 01 24 |T 13:28:07,,,"Mallory, N.A.  Juan Bautista Martínez del Mazo: Retratos y paisajes.  Goya  221 (March-April 1991): 265-276.","Mallory, N.A.  Juan Bautista Martínez del Mazo: Retratos y paisajes.  Goya  221 (March-April 1991): 265-276.",2941,"Mallory, 1991","Mallory, 1991",M
2991,"Cherry, P.",,Archivo Español de Arte,"Juan Bautista Martínez del Mazo, viudo de Francisca Velázquez (1653)",511-528,,,,,,,|y1990,,,63,,CHERRY90,"Cherry, 1990, p.","Cherry, 1990",,seen.2.2.95.fma,,y,,,,,,,,Magazine,,,M3,EG |D 1995 01 24 |T 15:30:14,EG |D 1995 01 24 |T 15:30:14,,,"Cherry, P.  Juan Bautista Martínez del Mazo, viudo de Francisca Velázquez (1653).  Archivo Español de Arte  63 (1990): 511-528.","Cherry, P.  Juan Bautista Martínez del Mazo, viudo de Francisca Velázquez (1653).  Archivo Español de Arte  63 (1990): 511-528.",2942,"Cherry, 1990","Cherry, 1990",C
2992,"Fernández, J.M.",,Archivo Español del Arte,El pintor Antonio Mohedano de la Gutierra,113-119,,,,,,,|y1948,,,21,,FERNAN48,"Fernández, 1948, p.","Fernández, 1948",,seen.2.9.95.fma  // IJR 3/95,,y,,,,,,,,Back on Shelf,,,M3,EG |D 1995 01 25 |T 11:48:22,EG |D 1995 01 25 |T 11:48:22,,,"Fernández, J.M.  El pintor Antonio Mohedano de la Gutierra. Archivo Español del Arte  21 (1948): 113-119.","Fernández, J.M.  El pintor Antonio Mohedano de la Gutierra. Archivo Español del Arte  21 (1948): 113-119.",2943,"Fernández, 1948","Fernández, 1948",F
2993,"Pérez Calero, G.",,El pintor Virgilio Mattoni,,,,,,,Seville,1977,,,,,,PECAL77,"Pérez Calero, 1977, p.","Pérez Calero, 1977",,Checked: IJR 3/95,,,,,,,,,,Back on Shelf,,813 M436p415,M3,MLH |D 1995 01 25 |T 11:51:03,MLH |D 1995 01 25 |T 11:51:03,,,"Pérez Calero, G.  El pintor Virgilio Mattoni.  Seville, 1977.","Pérez Calero, G.  El pintor Virgilio Mattoni.  Seville, 1977.",2944,"Pérez Calero, 1977",Pérez Calero,P
2994,"González Zubieta, R.",,Vida y obra del artista andaluz Antonio Mohedano de la Gutierra (1563?-1626),,,,Colección Libros de Bolsillo 4,,,Córdoba,1981,,,,,,GONZU,"González Zubieta, 1981, p.","González Zubieta, 1981",,Checked: IJR 3/95,,,,,,,,,,Back on Shelf,,813 M752g58,M3,EG |D 1995 01 25 |T 13:28:12,EG |D 1995 01 25 |T 13:28:12,,,"González Zubieta, R.  Vida y obra del artista andaluz Antonio Mohedano de la Gutierra (1563?-1626).  Colección Libros de Bolsillo 4. Córdoba, 1981.","González Zubieta, R.  Vida y obra del artista andaluz Antonio Mohedano de la Gutierra (1563?-1626).  Colección Libros de Bolsillo 4. Córdoba, 1981.",2945,"González Zubieta, 1981",González Zubieta,G
